lambdaratio,Scip,Mosek,Cplex,L0Bnb,SBnb,El0ps,Maxtime,ScipCumsum,MosekCumsum,CplexCumsum,L0BnbCumsum,SBnbCumsum,El0psCumsum
1.0,43.630651315053300,0.9701675176620480,0.7075668333333330,0.05348650614420570,0.0017168124516805000,0.00024048487345377600,600,43.630651315053300,0.9701675176620480,0.7075668333333330,0.05348650614420570,0.0017168124516805000,0.00024048487345377600
0.8531678524172810,112.23885083198500,3.887724002202350,2.1201336666666700,0.06547860304514570,0.01481938362121580,0.0006035566329956060,600,155.869502147038,4.8578915198644,2.8277005000000000,0.11896510918935100,0.0165361960728963,0.000844041506449382
0.7278953843983150,139.57792584101400,3.664150277773540,3.288720833333330,0.06720312436421710,0.02816299597422280,0.0016048749287923200,600,295.447427988052,8.52204179763794,6.11642133333333,0.18616823355356800,0.0446991920471191,0.0024489164352417
0.6210169418915620,238.98545038700100,3.574884533882140,5.329311166666670,0.0624926487604777,0.08297300338745120,0.0023016929626464800,600,534.432878375053,12.0969263315201,11.4457325,0.248660882314046,0.12767219543457,0.00475060939788818
0.5298316906283710,299.1464633544290,4.557340979576110,6.869597166666670,0.09629857540130620,0.08920085430145260,0.004106362660725910,600,833.579341729482,16.6542673110962,18.3153296666667,0.344959457715352,0.216873049736023,0.00885697205861409
0.4520353656360240,344.9217783610030,5.32481880982717,9.409227333333330,0.1771452029546100,0.10711431503295900,0.007173657417297360,600,1178.50112009049,25.9790861209234,27.724557,0.522104660669962,0.323987364768982,0.0160306294759115
0.3856620421163470,320.17379399140700,6.057405511538190,11.676813833333300,0.18927629788716600,0.12986854712168400,0.004768252372741700,600,1498.6749140819,32.0364916324616,39.4013708333333,0.711380958557128,0.453855911890666,0.0207988818486532
0.3290344562312670,349.40856345494600,7.35511835416160,14.247517333333300,0.17539680004119900,0.1441744565963750,0.005406379699707030,600,1848.08347753685,49.3916099866232,53.6488881666666,0.886777758598327,0.598030368487041,0.0262052615483602
0.2807216203941180,283.27721699078900,8.56747579574585,11.5671275,0.12485706806182900,0.12398648262023900,0.0057688554128011100,600,2131.36069452764,57.9590857823691,65.2160156666666,1.01163482666016,0.72201685110728,0.0319741169611613
0.23950266199874900,236.67852946122500,4.674792528152470,14.283385166666700,0.09769670168558760,0.10193137327830000,0.002951542536417640,600,2368.03922398887,62.6338783105216,79.4994008333333,1.10933152834575,0.82394822438558,0.0349256594975789
0.20433597178569400,220.38809911410000,4.586332678794860,14.693329,0.08856888612111410,0.08522804578145350,0.0030356645584106400,600,2588.42732310297,67.2202109893165,94.1927298333333,1.19790041446686,0.909176270167034,0.0379613240559895
0.17433288221999900,178.01813773314200,4.576720039049790,17.842186166666700,0.08917093276977540,0.11229280630747500,0.002836306889851890,600,2766.44546083611,71.7969310283663,112.034916,1.28707134723664,1.02146907647451,0.0407976309458414
0.14873521072935100,169.6299158334730,4.599564790725710,15.946015666666700,0.10292553901672400,0.12863465150197300,0.003141323725382490,600,2936.07537666958,76.396495819092,127.980931666667,1.38999688625336,1.15010372797648,0.0439389546712239
0.12689610031679200,181.10033671061200,4.847704132397970,16.461087666666700,0.10024623076121000,0.18009535471598300,0.0043267011642456100,600,3117.17571338019,81.24419995149,144.442019333334,1.49024311701457,1.33019908269246,0.0482656558354695
0.10826367338740500,191.09070630868300,5.29305374622345,18.169018,0.11560459931691500,0.2672969500223800,0.00565648078918457,600,3308.26641968887,86.5372536977135,162.611037333334,1.60584771633149,1.59749603271484,0.0539221366246541
0.09236708571873860,271.65012590090400,6.151575366655990,24.637441666666700,0.1570365031560260,0.46877280871073400,0.009672164916992190,600,3579.91654558977,92.6888290643695,187.248479000001,1.76288421948752,2.06626884142557,0.0635943015416463
0.07880462815669910,372.63177757263200,8.863343278567000,24.255482666666700,0.19231049219767300,0.9303412834803260,0.020101547241210900,600,3952.5483231624,101.552172342937,211.503961666668,1.95519471168519,2.9966101249059,0.0836958487828572
0.06723357536499340,600.0,14.643938024838800,35.847761166666700,0.3458269039789840,1.7268750270207700,0.03885169823964440,600,4552.5483231624,116.196110367776,247.351722833335,2.30102161566417,4.72348515192667,0.122547547022502
0.057361525104486800,600.0,31.91731182734170,100.03612700000000,0.8576825459798180,2.8746362924575800,0.07749553521474200,600,5152.5483231624,208.113422195118,347.387849833335,3.15870416164399,7.59812144438425,0.200043082237244
0.04893900918477490,600.0,61.158582170804300,257.6657203333330,1.421320120493570,4.533081491788230,0.14777247111002600,600,5752.5483231624,269.272004365922,605.053570166668,4.58002428213756,12.1312029361725,0.34781555334727
0.041753189365604,600.0,83.21163415908810,582.5581515,3.013044834136960,8.012935757637020,0.32826077938079800,600,6352.5483231624,352.48363852501,1187.61172166667,7.59306911627452,20.1441386938095,0.676076332728068
0.035622478902624400,600.0,123.81627599398300,600.0,15.312227090199800,33.13966500759130,1.4964240392049200,600,6952.5483231624,476.299914518993,1787.61172166667,22.9052962064743,53.2838037014008,2.17250037193299
0.03039195382313200,600.0,332.706086953481,600.0,83.23728092511490,163.12251595656100,8.938950339953100,600,7552.5483231624,809.006001472474,2387.61172166667,106.142577131589,216.406319657962,11.1114507118861
0.02592943797404670,600.0,599.9713004430140,600.0,408.00365948677100,579.2208953301110,82.73642420768740,600,8152.5483231624,1408.97730191549,2987.61172166667,514.14623661836,795.627214988073,93.8478749195735
0.022122162910704500,600.0,600.0,600.0,600.0,600.0,551.4331030050910,600,8752.5483231624,2008.97730191549,3587.61172166667,1114.14623661836,1395.62721498807,645.280977924665
